customer_service::0000 VL    pred=1 true=1 lat=4007ms
customer_service::0000 FR    pred=1 true=1 lat=1741ms
customer_service::0000 GR    pred=1 true=1 lat=1551ms
customer_service::0000 GACA  pred=10 true=1 lat=1745ms
customer_service::0020 VL    pred=19 true=22 lat=1702ms
customer_service::0020 FR    pred=19 true=22 lat=1630ms
customer_service::0020 GR    pred=22 true=22 lat=1434ms
customer_service::0020 GACA  pred=22 true=22 lat=2284ms
customer_service::0040 VL    pred=19 true=19 lat=2207ms
customer_service::0040 FR    pred=19 true=19 lat=1414ms
customer_service::0040 GR    pred=19 true=19 lat=1373ms
customer_service::0040 GACA  pred=21 true=19 lat=2145ms
customer_service::0060 VL    pred=19 true=16 lat=1383ms
customer_service::0060 FR    pred=19 true=16 lat=1275ms
customer_service::0060 GR    pred=19 true=16 lat=1469ms
customer_service::0060 GACA  pred=19 true=16 lat=1832ms
customer_service::0080 VL    pred=19 true=13 lat=1556ms
customer_service::0080 FR    pred=19 true=13 lat=1958ms
customer_service::0080 GR    pred=19 true=13 lat=1354ms
customer_service::0080 GACA  pred=13 true=13 lat=2087ms
customer_service::0001 VL    pred=2 true=2 lat=1569ms
customer_service::0001 FR    pred=19 true=2 lat=1621ms
customer_service::0001 GR    pred=19 true=2 lat=1795ms
customer_service::0001 GACA  pred=19 true=2 lat=2042ms
customer_service::0021 VL    pred=16 true=23 lat=1339ms
customer_service::0021 FR    pred=16 true=23 lat=1724ms
customer_service::0021 GR    pred=16 true=23 lat=1625ms
customer_service::0021 GACA  pred=16 true=23 lat=2040ms
customer_service::0041 VL    pred=20 true=20 lat=1381ms
customer_service::0041 FR    pred=20 true=20 lat=3269ms
customer_service::0041 GR    pred=20 true=20 lat=1556ms
customer_service::0041 GACA  pred=20 true=20 lat=2152ms
customer_service::0061 VL    pred=3 true=17 lat=1737ms
customer_service::0061 FR    pred=19 true=17 lat=1412ms
customer_service::0061 GR    pred=19 true=17 lat=1506ms
customer_service::0061 GACA  pred=11 true=17 lat=2188ms
customer_service::0081 VL    pred=14 true=14 lat=1479ms
customer_service::0081 FR    pred=12 true=14 lat=1410ms
customer_service::0081 GR    pred=11 true=14 lat=1268ms
customer_service::0081 GACA  pred=12 true=14 lat=2110ms
customer_service::0002 VL    pred=3 true=3 lat=1604ms
customer_service::0002 FR    pred=19 true=3 lat=1519ms
customer_service::0002 GR    pred=19 true=3 lat=1571ms
customer_service::0002 GACA  pred=4 true=3 lat=2461ms
customer_service::0022 VL    pred=24 true=24 lat=1221ms
customer_service::0022 FR    pred=24 true=24 lat=1461ms
customer_service::0022 GR    pred=24 true=24 lat=1467ms
customer_service::0022 GACA  pred=24 true=24 lat=2051ms
customer_service::0042 VL    pred=19 true=21 lat=2739ms
customer_service::0042 FR    pred=19 true=21 lat=1535ms
customer_service::0042 GR    pred=19 true=21 lat=1314ms
customer_service::0042 GACA  pred=19 true=21 lat=2104ms
customer_service::0062 VL    pred=19 true=18 lat=1665ms
customer_service::0062 FR    pred=19 true=18 lat=1406ms
customer_service::0062 GR    pred=18 true=18 lat=1569ms
customer_service::0062 GACA  pred=19 true=18 lat=2065ms
customer_service::0082 VL    pred=19 true=15 lat=1256ms
customer_service::0082 FR    pred=19 true=15 lat=1559ms
customer_service::0082 GR    pred=19 true=15 lat=1736ms
customer_service::0082 GACA  pred=15 true=15 lat=2271ms
customer_service::0003 VL    pred=4 true=4 lat=1613ms
customer_service::0003 FR    pred=19 true=4 lat=1622ms
customer_service::0003 GR    pred=19 true=4 lat=1984ms
customer_service::0003 GACA  pred=4 true=4 lat=2051ms
customer_service::0023 VL    pred=9 true=1 lat=1683ms
customer_service::0023 FR    pred=1 true=1 lat=1301ms
customer_service::0023 GR    pred=1 true=1 lat=1449ms
customer_service::0023 GACA  pred=1 true=1 lat=2241ms
customer_service::0043 VL    pred=19 true=22 lat=1531ms
customer_service::0043 FR    pred=19 true=22 lat=1839ms
customer_service::0043 GR    pred=19 true=22 lat=1844ms
customer_service::0043 GACA  pred=19 true=22 lat=1805ms
customer_service::0063 VL    pred=19 true=19 lat=1221ms
customer_service::0063 FR    pred=19 true=19 lat=1341ms
customer_service::0063 GR    pred=19 true=19 lat=1710ms
customer_service::0063 GACA  pred=19 true=19 lat=2601ms
customer_service::0083 VL    pred=16 true=16 lat=1575ms
customer_service::0083 FR    pred=19 true=16 lat=1621ms
customer_service::0083 GR    pred=19 true=16 lat=1745ms
customer_service::0083 GACA  pred=19 true=16 lat=2349ms
customer_service::0004 VL    pred=6 true=6 lat=1651ms
customer_service::0004 FR    pred=6 true=6 lat=1529ms
customer_service::0004 GR    pred=6 true=6 lat=1454ms
customer_service::0004 GACA  pred=6 true=6 lat=1890ms
customer_service::0024 VL    pred=2 true=2 lat=1558ms
customer_service::0024 FR    pred=2 true=2 lat=1570ms
customer_service::0024 GR    pred=2 true=2 lat=1596ms
customer_service::0024 GACA  pred=19 true=2 lat=2100ms
customer_service::0044 VL    pred=23 true=23 lat=1656ms
customer_service::0044 FR    pred=22 true=23 lat=1236ms
customer_service::0044 GR    pred=22 true=23 lat=1768ms
customer_service::0044 GACA  pred=23 true=23 lat=2231ms
customer_service::0064 VL    pred=20 true=20 lat=1656ms
customer_service::0064 FR    pred=20 true=20 lat=1654ms
customer_service::0064 GR    pred=20 true=20 lat=1714ms
customer_service::0064 GACA  pred=20 true=20 lat=2140ms
