    healthcare::0017 missing_features               pred=19 true=19 lat=3031ms
    healthcare::0017 sparse_history                 pred=19 true=19 lat=1907ms
    healthcare::0017 incomplete_contested_ontology  pred=19 true=19 lat=1971ms
    healthcare::0037 noisy_incomplete_transcript    pred=11 true=16 lat=2675ms
    healthcare::0037 missing_features               pred=16 true=16 lat=2126ms
    healthcare::0037 sparse_history                 pred=16 true=16 lat=2201ms
    healthcare::0037 incomplete_contested_ontology  pred=16 true=16 lat=2302ms
    healthcare::0057 noisy_incomplete_transcript    pred=13 true=13 lat=2324ms
    healthcare::0057 missing_features               pred=13 true=13 lat=2474ms
    healthcare::0057 sparse_history                 pred=6 true=13 lat=2089ms
    healthcare::0057 incomplete_contested_ontology  pred=13 true=13 lat=2202ms
    healthcare::0077 noisy_incomplete_transcript    pred=10 true=10 lat=1919ms
    healthcare::0077 missing_features               pred=11 true=10 lat=1872ms
    healthcare::0077 sparse_history                 pred=11 true=10 lat=1649ms
    healthcare::0077 incomplete_contested_ontology  pred=10 true=10 lat=1825ms
    healthcare::0097 noisy_incomplete_transcript    pred=11 true=7 lat=1908ms
    healthcare::0097 missing_features               pred=11 true=7 lat=1824ms
    healthcare::0097 sparse_history                 pred=11 true=7 lat=1944ms
    healthcare::0097 incomplete_contested_ontology  pred=11 true=7 lat=2180ms
    healthcare::0018 noisy_incomplete_transcript    pred=20 true=20 lat=2574ms
    healthcare::0018 missing_features               pred=20 true=20 lat=1889ms
    healthcare::0018 sparse_history                 pred=20 true=20 lat=1792ms
    healthcare::0018 incomplete_contested_ontology  pred=20 true=20 lat=1869ms
    healthcare::0038 noisy_incomplete_transcript    pred=11 true=17 lat=2056ms
    healthcare::0038 missing_features               pred=11 true=17 lat=2234ms
    healthcare::0038 sparse_history                 pred=11 true=17 lat=1959ms
    healthcare::0038 incomplete_contested_ontology  pred=11 true=17 lat=2252ms
    healthcare::0058 noisy_incomplete_transcript    pred=14 true=14 lat=2239ms
    healthcare::0058 missing_features               pred=14 true=14 lat=2569ms
    healthcare::0058 sparse_history                 pred=14 true=14 lat=2322ms
    healthcare::0058 incomplete_contested_ontology  pred=14 true=14 lat=2265ms
    healthcare::0078 noisy_incomplete_transcript    pred=11 true=11 lat=1750ms
    healthcare::0078 missing_features               pred=11 true=11 lat=2150ms
    healthcare::0078 sparse_history                 pred=11 true=11 lat=2071ms
    healthcare::0078 incomplete_contested_ontology  pred=11 true=11 lat=2232ms
    healthcare::0098 noisy_incomplete_transcript    pred=11 true=8 lat=1884ms
    healthcare::0098 missing_features               pred=21 true=8 lat=1978ms
    healthcare::0098 sparse_history                 pred=11 true=8 lat=1893ms
    healthcare::0098 incomplete_contested_ontology  pred=11 true=8 lat=1834ms
    healthcare::0019 noisy_incomplete_transcript    pred=21 true=21 lat=2168ms
    healthcare::0019 missing_features               pred=21 true=21 lat=1839ms
    healthcare::0019 sparse_history                 pred=21 true=21 lat=1879ms
    healthcare::0019 incomplete_contested_ontology  pred=21 true=21 lat=1790ms
    healthcare::0039 noisy_incomplete_transcript    pred=11 true=18 lat=2253ms
    healthcare::0039 missing_features               pred=11 true=18 lat=2136ms
    healthcare::0039 sparse_history                 pred=11 true=18 lat=1769ms
    healthcare::0039 incomplete_contested_ontology  pred=11 true=18 lat=2122ms
    healthcare::0059 noisy_incomplete_transcript    pred=11 true=15 lat=3599ms
    healthcare::0059 missing_features               pred=12 true=15 lat=2352ms
    healthcare::0059 sparse_history                 pred=11 true=15 lat=2123ms
    healthcare::0059 incomplete_contested_ontology  pred=12 true=15 lat=2047ms
    healthcare::0079 noisy_incomplete_transcript    pred=12 true=12 lat=2084ms
    healthcare::0079 missing_features               pred=12 true=12 lat=2056ms
    healthcare::0079 sparse_history                 pred=12 true=12 lat=1656ms
    healthcare::0079 incomplete_contested_ontology  pred=11 true=12 lat=1932ms
    healthcare::0099 noisy_incomplete_transcript    pred=10 true=9 lat=2138ms
    healthcare::0099 missing_features               pred=11 true=9 lat=1910ms
    healthcare::0099 sparse_history                 pred=10 true=9 lat=1927ms
    healthcare::0099 incomplete_contested_ontology  pred=10 true=9 lat=1912ms
      teaching::0000 noisy_incomplete_transcript    pred=11 true=1 lat=1944ms
      teaching::0000 missing_features               pred=11 true=1 lat=1881ms
      teaching::0000 sparse_history                 pred=11 true=1 lat=2117ms
      teaching::0000 incomplete_contested_ontology  pred=11 true=1 lat=1870ms
      teaching::0020 noisy_incomplete_transcript    pred=21 true=21 lat=2278ms
      teaching::0020 missing_features               pred=11 true=21 lat=2064ms
      teaching::0020 sparse_history                 pred=21 true=21 lat=1819ms
      teaching::0020 incomplete_contested_ontology  pred=21 true=21 lat=1982ms
      teaching::0040 noisy_incomplete_transcript    pred=17 true=17 lat=1977ms
      teaching::0040 missing_features               pred=17 true=17 lat=2013ms
      teaching::0040 sparse_history                 pred=17 true=17 lat=2116ms
      teaching::0040 incomplete_contested_ontology  pred=17 true=17 lat=2067ms
      teaching::0060 noisy_incomplete_transcript    pred=5 true=13 lat=2250ms
      teaching::0060 missing_features               pred=5 true=13 lat=2247ms
      teaching::0060 sparse_history                 pred=5 true=13 lat=2232ms
      teaching::0060 incomplete_contested_ontology  pred=17 true=13 lat=2211ms
      teaching::0080 noisy_incomplete_transcript    pred=1 true=9 lat=1964ms
      teaching::0080 missing_features               pred=11 true=9 lat=2118ms
      teaching::0080 sparse_history                 pred=11 true=9 lat=1829ms
      teaching::0080 incomplete_contested_ontology  pred=11 true=9 lat=1840ms
      teaching::0001 noisy_incomplete_transcript    pred=1 true=2 lat=2018ms
      teaching::0001 missing_features               pred=1 true=2 lat=1941ms
      teaching::0001 sparse_history                 pred=1 true=2 lat=2140ms
      teaching::0001 incomplete_contested_ontology  pred=1 true=2 lat=1731ms
      teaching::0021 noisy_incomplete_transcript    pred=14 true=22 lat=2142ms
      teaching::0021 missing_features               pred=22 true=22 lat=2544ms
